;Test true y;Pred
1009;1384.0;1379.0764
1010;1982.1;1982.7615
1011;1341.01;1350.4894
1012;1924.04;1920.5221
1013;1534.39;1534.8386
1014;1579.7;1583.8326
1015;1508.97;1509.4337
1016;1517.04;1516.5547
1017;1328.3;1334.0121
1018;1409.8;1415.3926
1019;1925.7;1927.5232
1020;1464.7;1460.6196
1021;1834.3;1838.6118
1022;1195.6;1182.3114
1023;1401.03;1402.0646
1024;1478.4;1480.4727
1025;1674.77;1667.5295
1026;1293.2;1295.9253
1027;1299.09;1307.4445
1028;1239.9;1221.2732
1029;1345.7;1346.9292
1030;1775.1;1773.7452
1031;1744.61;1747.6307
1032;1586.9;1584.5262
1033;1591.1;1591.1794
1034;1526.8;1529.7667
1035;1271.3;1283.8762
1036;1268.31;1241.4297
1037;1743.53;1743.4637
1038;1471.0;1472.6351
1039;1463.27;1463.639
1040;1234.0;1236.7166
1041;1558.0;1534.9658
1042;1618.66;1625.6869
1043;1631.12;1628.3568
1044;1585.8;1591.0441
1045;1341.1;1344.2704
1046;1554.04;1552.1472
1047;1181.79;1193.216
1048;1555.5;1557.2709
1049;1595.1;1596.5181
1050;1786.7;1787.1254
1051;1709.16;1695.0076
1052;1450.5;1452.0702
1053;1496.64;1519.5088
1054;1207.0;1201.2328
1055;1559.79;1569.9187
1056;1558.1;1558.0874
1057;1471.16;1472.8301
1058;1576.55;1575.17
1059;1446.45;1440.8373
1060;1569.53;1591.8466
1061;1468.58;1457.9108
1062;1464.0;1448.3652
1063;1410.27;1410.0161
1064;1521.95;1524.3113
1065;1906.97;1907.9524
1066;1665.0;1668.1398
1067;1172.22;1178.5691
1068;1373.29;1359.8677
1069;1610.5;1597.2114
1070;1489.5;1494.1976
1071;1526.0;1507.291
1072;1660.75;1665.1753
1073;1507.92;1510.2366
1074;1613.23;1607.279
1075;1408.6;1392.4503
1076;1691.31;1695.7412
1077;1607.5;1608.8182
1078;1489.2;1483.8619
1079;1539.91;1545.3081
