;Test true y;Pred
552;1496.5;1497.1307
553;1584.54;1604.7417
554;1740.2;1738.8798
555;1484.18;1484.7415
556;1579.74;1581.734
557;1268.06;1268.2185
558;1481.3;1484.7125
559;1287.27;1292.0972
560;1330.29;1322.731
561;1784.31;1781.9469
562;1430.3;1432.9498
563;1731.5;1732.2421
564;1493.55;1494.6265
565;1332.89;1327.773
566;1732.78;1736.4176
567;1545.62;1546.7518
568;1332.4;1333.2607
569;1449.7;1449.3295
570;1808.1;1812.8385
571;1784.31;1786.1134
572;1380.11;1383.9099
573;1476.1;1474.3397
574;1491.25;1486.1387
575;1242.0;1244.9901
576;1363.7;1360.4711
577;1463.69;1466.0791
578;1760.9;1755.3053
579;1507.08;1507.9744
580;1517.3;1519.7979
581;1297.43;1303.3778
582;1172.0;1171.6741
583;1500.5;1496.8842
584;1460.27;1452.7532
585;1362.8;1357.7361
586;1447.5;1443.0181
587;1365.6;1372.3481
588;1849.7;1852.0697
589;1511.2;1511.1941
590;1753.21;1756.5815
591;1561.7;1565.7511
592;1543.8;1542.6221
593;1352.9;1349.3662
594;1661.79;1664.341
595;1447.42;1444.9897
596;1598.99;1601.5479
597;1250.67;1265.1836
598;1875.0;1873.9363
599;1297.8;1298.4608
600;1483.7;1483.3806
601;1599.3;1596.9236
602;1822.55;1823.4111
603;1587.0;1587.4827
604;1527.4;1525.7871
605;1156.45;1155.2455
606;1492.6;1490.0997
607;1373.22;1370.1268
608;1419.42;1419.597
609;1466.8;1468.6343
610;1637.77;1637.6141
611;1861.68;1863.0698
612;1658.2;1649.9147
613;1443.6;1441.9829
614;1639.4;1640.1099
615;1850.3;1851.483
616;1306.21;1315.6667
617;1220.44;1215.8826
618;1526.82;1519.5509
619;1547.2;1550.9333
620;1299.89;1299.0177
621;1283.45;1289.5964
622;1827.6;1820.6516
623;1505.9;1506.578
624;1254.63;1257.6528
625;1575.6;1577.7513
626;1611.34;1611.9314
627;1626.49;1629.9622
628;1833.62;1828.5911
629;1886.01;1889.4456
630;1667.18;1669.7052
631;1842.34;1840.8975
632;1413.24;1412.361
633;1724.9;1730.0193
634;1638.55;1641.0742
635;1819.86;1820.343
636;1343.0;1343.4296
637;1809.41;1809.5173
638;1271.7;1274.9224
639;1957.4;1955.9358
640;1522.45;1521.7793
641;1995.57;1997.2876
642;1288.1;1284.3092
643;1453.0;1455.7396
644;1440.88;1440.8729
645;1404.68;1403.5795
646;1366.0;1365.7585
647;1483.7;1477.5001
648;1365.79;1365.8444
649;1455.84;1455.7644
650;1583.22;1586.4485
651;1589.9;1591.9939
652;1828.91;1830.0686
653;1463.0;1463.1489
654;1382.3;1380.2542
655;1368.98;1366.166
656;1421.0;1420.5013
657;1780.84;1787.3474
658;1640.42;1642.265
659;1104.7;1105.5437
660;1257.82;1258.8527
661;1555.0;1556.1791
662;1803.77;1797.8744
663;1238.06;1247.494
664;1431.22;1438.2517
665;1413.4;1416.4349
666;1551.51;1550.7389
667;1553.0;1552.2196
668;1419.33;1415.1373
669;1610.5;1607.633
670;1213.04;1216.1973
671;1531.0;1529.1846
672;1568.3;1568.6417
673;1388.78;1388.028
674;1749.05;1740.6965
675;1255.0;1253.3315
676;1547.5;1542.4438
677;1215.5;1214.3357
678;1245.95;1252.1271
679;1566.12;1565.0583
680;1445.6;1447.5884
681;1329.77;1329.4377
682;1590.9;1591.0823
683;1652.4;1651.6765
684;1438.0;1437.582
685;1777.91;1778.0701
686;1514.4;1512.098
687;1426.12;1426.4514
688;1278.6;1277.9348
689;1782.61;1787.3708
690;1504.33;1505.3007
691;1594.75;1595.4569
692;1763.1;1768.0188
693;1552.0;1550.663
694;1591.97;1588.297
695;1341.81;1337.2638
696;1525.72;1522.5327
697;1494.2;1491.4202
698;1672.1;1656.0052
699;1579.6;1580.8633
700;1805.71;1803.5891
701;1190.18;1209.2218
702;1465.8;1465.1647
703;1346.4;1345.6595
704;1692.44;1692.1423
705;1221.0;1221.5808
706;1504.9;1507.1136
707;1224.39;1225.4067
708;1575.07;1576.4796
709;1599.53;1607.1207
710;1790.7;1794.0226
711;1599.4;1599.457
712;1331.54;1330.7839
713;1547.6;1536.564
714;1717.34;1717.5411
715;1437.1;1437.2657
716;1749.69;1750.387
717;1959.2;1954.6246
718;1513.5;1514.6942
719;1438.39;1439.1539
720;1575.3;1574.9287
721;1630.98;1631.9591
722;1548.8;1551.2781
723;1384.0;1379.0204
724;1982.1;1981.8597
725;1341.01;1347.9576
726;1924.04;1924.0978
727;1534.39;1535.9592
728;1579.7;1577.3323
729;1508.97;1509.3134
730;1517.04;1517.3684
731;1328.3;1326.923
732;1409.8;1407.8679
733;1925.7;1926.4397
734;1464.7;1466.4341
735;1834.3;1836.9658
736;1195.6;1200.2571
737;1401.03;1393.5045
738;1478.4;1479.6886
739;1674.77;1677.7009
740;1293.2;1293.4426
741;1299.09;1298.1288
742;1239.9;1242.0814
743;1345.7;1345.4427
744;1775.1;1778.1306
745;1744.61;1742.1134
746;1586.9;1582.9161
747;1591.1;1590.6465
748;1526.8;1527.1565
749;1271.3;1272.4681
750;1268.31;1239.2526
751;1743.53;1742.6575
752;1471.0;1470.9297
753;1463.27;1464.272
754;1234.0;1236.888
755;1558.0;1557.5208
756;1618.66;1618.065
757;1631.12;1636.0935
758;1585.8;1581.9923
759;1341.1;1338.4774
760;1554.04;1555.5841
761;1181.79;1179.6025
762;1555.5;1553.9004
763;1595.1;1593.7598
764;1786.7;1786.1858
765;1709.16;1706.8569
766;1450.5;1451.7916
767;1496.64;1495.5038
768;1207.0;1206.0641
769;1559.79;1563.7137
770;1558.1;1557.7776
771;1471.16;1470.3407
772;1576.55;1571.6112
773;1446.45;1441.0815
774;1569.53;1583.3123
775;1468.58;1468.9093
776;1464.0;1464.0951
777;1410.27;1412.8529
778;1521.95;1523.6697
779;1906.97;1908.9291
780;1665.0;1666.9332
781;1172.22;1168.9366
782;1373.29;1361.7596
783;1610.5;1611.4683
784;1489.5;1483.6052
785;1526.0;1525.4839
786;1660.75;1660.1473
787;1507.92;1504.3651
788;1613.23;1611.3469
789;1408.6;1412.654
790;1691.31;1696.8689
791;1607.5;1615.5123
792;1489.2;1486.6305
793;1539.91;1538.3125
794;1579.8;1580.4148
795;1411.77;1428.2201
796;2007.06;2007.8246
797;1836.5;1842.116
798;1634.13;1637.6869
799;1526.6;1528.6327
800;1264.4;1260.8796
801;1517.31;1526.7422
802;1280.5;1277.0656
803;1375.3;1375.082
804;1632.38;1635.6284
805;1444.94;1442.2943
806;1446.7;1450.0082
807;1589.49;1590.345
808;1457.3;1458.1641
809;1471.7;1471.046
810;1569.7;1565.7108
811;1785.4;1770.8816
812;1465.05;1459.3127
813;1373.3;1374.6874
814;1412.47;1409.3123
815;1867.6;1867.4818
816;1386.0;1385.6324
817;1495.0;1499.4443
818;1742.8;1743.5554
819;1460.66;1462.0461
820;1491.64;1496.7476
821;1805.72;1814.2709
822;1305.79;1292.4972
823;1210.6;1212.0555
824;1491.1;1490.3455
825;1759.2;1758.6187
826;1457.7;1458.7557
827;1474.9;1475.519
828;1906.97;1908.9291
829;1419.38;1414.5879
830;1373.6;1367.8177
831;1568.09;1574.1531
832;1438.03;1436.4869
833;1546.2;1543.7009
834;1437.51;1438.7681
835;1424.15;1422.6884
836;1387.81;1383.4475
837;1279.73;1278.7141
838;1591.38;1588.0701
839;1439.36;1437.8849
840;1406.6;1409.8851
841;1417.9;1415.5829
842;1328.0;1328.6506
843;1348.42;1352.0358
844;1555.7;1544.8156
845;1412.4;1414.8802
846;1459.7;1464.6112
847;1810.34;1808.5249
848;1610.62;1610.8396
849;1504.6;1507.0157
850;1638.54;1637.6461
851;1295.5;1292.7947
852;1129.1;1128.1335
853;1448.6;1446.013
854;1573.72;1570.9124
855;1765.66;1766.3469
856;1573.0;1571.1394
857;1678.8;1678.7083
858;1193.89;1193.9734
859;1500.61;1501.1361
860;1524.66;1523.7025
861;1396.33;1396.0753
862;1500.4;1500.3085
863;1740.74;1738.0183
864;1344.49;1346.8954
865;1463.1;1462.9497
866;1362.4;1362.219
867;1422.1;1419.0149
868;1304.59;1309.4691
869;1748.6;1745.0873
870;1360.7;1360.6606
871;1653.13;1642.21
872;1275.8;1273.1234
873;1661.6;1663.1809
874;1553.2;1553.6433
875;1794.94;1794.8414
876;1295.8;1293.926
877;1483.62;1472.3876
878;1501.96;1502.1388
879;1545.4;1545.5917
880;1430.02;1423.6359
881;1345.9;1348.5033
882;1798.54;1798.9652
883;1741.6;1746.6511
884;1613.7;1616.9368
885;1447.7;1444.1844
886;1487.3;1482.7821
887;1456.8;1457.5194
888;1264.55;1267.6279
889;1808.06;1808.3505
890;1774.6;1774.2284
891;1307.97;1309.9442
892;1766.7;1750.5079
893;1735.1;1722.9025
894;1553.16;1557.8188
895;1624.6;1623.8246
896;1495.1;1497.1357
897;1263.71;1276.0411
898;1850.42;1853.4735
899;1515.57;1516.6052
900;1369.19;1369.232
901;1487.5;1485.174
902;1793.5;1793.3131
903;1743.91;1743.6998
904;1694.48;1698.0125
905;1479.59;1480.5107
906;1525.22;1520.832
907;1718.88;1715.7318
908;1582.8;1580.8243
909;1289.0;1285.8967
910;1289.6;1289.1594
911;1856.2;1855.6499
912;1266.9;1265.534
913;1374.5;1373.5096
914;1826.0;1826.7618
915;1661.0;1657.6761
916;1262.0;1261.0988
917;1384.85;1387.7091
918;1874.1;1869.3481
919;1486.41;1486.2017
920;1486.04;1486.1462
921;1531.9;1532.9352
922;1484.7;1491.0068
923;1585.8;1583.5175
924;1662.08;1674.0603
925;1519.63;1516.1787
926;1576.67;1575.501
927;1776.4;1779.8962
928;1324.7;1317.138
929;1445.94;1446.7144
930;1718.88;1717.7717
931;1420.02;1425.1464
932;1146.5;1147.8276
