M_C;M_A;SYM;P;T;EXP U
139.29;111.1;0;70;333.15;1770.2
139.29;111.1;0;80;333.15;1793.8
139.29;111.1;0;90;333.15;1816.7
139.29;111.1;0;95;333.15;1827.6
139.29;111.1;0;0.1;343.15;1558.1
139.29;111.1;0;5;343.15;1573.6
139.29;111.1;0;10;343.15;1589.2
139.29;111.1;0;20;343.15;1619
139.29;111.1;0;30;343.15;1647.5
139.29;111.1;0;40;343.15;1675.1
139.29;111.1;0;50;343.15;1701.6
139.29;111.1;0;60;343.15;1727.1
139.29;111.1;0;70;343.15;1751.9
139.29;111.1;0;80;343.15;1776.1
139.29;111.1;0;90;343.15;1799.3
139.29;111.1;0;95;343.15;1810.7
139.29;86.81;0;0.1;283.15;1599.51
139.29;86.81;0;5;283.15;1612.54
139.29;86.81;0;10;283.15;1626.2
139.29;86.81;0;20;283.15;1653.13
139.29;86.81;0;30;283.15;1678.26
139.29;86.81;0;45;283.15;1714.66
139.29;86.81;0;60;283.15;1749.05
139.29;86.81;0;80;283.15;1793.04
139.29;86.81;0;100;283.15;1833.62
139.29;86.81;0;125;283.15;1882.86
139.29;86.81;0;151;283.15;1932.2
139.29;86.81;0;0.1;293.15;1570.23
139.29;86.81;0;5;293.15;1583.99
139.29;86.81;0;10;293.15;1597.7
139.29;86.81;0;20;293.15;1624.43
139.29;86.81;0;60;293.15;1721.05
139.29;86.81;0;100;293.15;1806.08
139.29;86.81;0;151;293.15;1907.3
139.29;86.81;0;0.1;303.15;1544.88
139.29;86.81;0;5;303.15;1558.6
139.29;86.81;0;10;303.15;1572.45
139.29;86.81;0;20;303.15;1599.53
139.29;86.81;0;60;303.15;1697
139.29;86.81;0;100;303.15;1782.61
139.29;86.81;0;125;303.15;1834.02
139.29;86.81;0;0.1;313.15;1525.22
139.29;86.81;0;5;313.15;1539.35
139.29;86.81;0;10;313.15;1554.04
139.29;86.81;0;20;313.15;1580.96
139.29;86.81;0;60;313.15;1679.35
139.29;86.81;0;100;313.15;1765.79
139.29;86.81;0;125;313.15;1816.59
139.29;86.81;0;151;313.15;1869.96
139.29;86.81;0;0.1;323.15;1503.36
139.29;86.81;0;5;323.15;1517.83
139.29;86.81;0;10;323.15;1533.4
139.29;86.81;0;20;323.15;1561.37
139.29;86.81;0;30;323.15;1848.63
62.09;73.07;0;0.1;303.15;1554.7
62.09;73.07;0;1;303.15;1558.7
62.09;73.07;0;2;303.15;1562.7
62.09;73.07;0;3;303.15;1566.7
62.09;73.07;0;4;303.15;1570.7
62.09;73.07;0;5;303.15;1574.7
62.09;73.07;0;6;303.15;1578.8
62.09;73.07;0;7;303.15;1582.9
62.09;73.07;0;8;303.15;1587
62.09;73.07;0;9;303.15;1591.1
62.09;73.07;0;10;303.15;1595.2
62.09;73.07;0;11;303.15;1599.4
62.09;73.07;0;12;303.15;1602.1
62.09;73.07;0;13;303.15;1606.3
62.09;73.07;0;14;303.15;1610.5
62.09;73.07;0;15;303.15;1613.3
62.09;73.07;0;16;303.15;1617.6
62.09;73.07;0;17;303.15;1620.4
62.09;73.07;0;18;303.15;1624.6
62.09;73.07;0;19;303.15;1628.9
62.09;73.07;0;20;303.15;1633.2
62.09;73.07;0;0.1;313.15;1526.8
62.09;73.07;0;1;313.15;1531.9
62.09;73.07;0;2;313.15;1535.7
62.09;73.07;0;3;313.15;1539.5
62.09;73.07;0;4;313.15;1542.1
62.09;73.07;0;5;313.15;1546
62.09;73.07;0;6;313.15;1549.9
62.09;73.07;0;7;313.15;1553.8
62.09;73.07;0;8;313.15;1557.8
62.09;73.07;0;9;313.15;1561.7
62.09;73.07;0;10;313.15;1565.7
62.09;73.07;0;11;313.15;1569.7
62.09;73.07;0;12;313.15;1573.7
62.09;73.07;0;13;313.15;1577.7
62.09;73.07;0;14;313.15;1581.7
62.09;73.07;0;15;313.15;1585.8
62.09;73.07;0;16;313.15;1589.9
62.09;73.07;0;17;313.15;1594
62.09;73.07;0;18;313.15;1598.1
62.09;73.07;0;19;313.15;1602.2
62.09;73.07;0;20;313.15;1606.4
62.09;73.07;0;0.1;323.15;1506.1
62.09;73.07;0;1;323.15;1509.8
62.09;73.07;0;2;323.15;1513.6
62.09;73.07;0;3;323.15;1517.3
62.09;73.07;0;4;323.15;1521.1
62.09;73.07;0;5;323.15;1524.9
62.09;73.07;0;6;323.15;1528.7
62.09;73.07;0;7;323.15;1533.8
62.09;73.07;0;8;323.15;1537.6
62.09;73.07;0;9;323.15;1541.5
62.09;73.07;0;10;323.15;1545.4
62.09;73.07;0;11;323.15;1549.2
62.09;73.07;0;12;323.15;1553.2
62.09;73.07;0;13;323.15;1558.4
62.09;73.07;0;14;323.15;1562.3
62.09;73.07;0;15;323.15;1566.3
62.09;73.07;0;16;323.15;1568.9
62.09;73.07;0;17;323.15;1572.9
62.09;73.07;0;18;323.15;1576.9
62.09;73.07;0;19;323.15;1581
62.09;73.07;0;20;323.15;1585
62.09;73.07;0;0.1;333.15;1474.9
62.09;73.07;0;1;333.15;1479.7
62.09;73.07;0;2;333.15;1484.6
62.09;73.07;0;3;333.15;1488.3
62.09;73.07;0;4;333.15;1493.2
62.09;73.07;0;5;333.15;1497
62.09;73.07;0;6;333.15;1501.9
62.09;73.07;0;7;333.15;1505.7
62.09;73.07;0;8;333.15;1509.5
62.09;73.07;0;9;333.15;1514.5
62.09;73.07;0;10;333.15;1518.3
62.09;73.07;0;11;333.15;1523.3
62.09;73.07;0;12;333.15;1527.2
62.09;73.07;0;13;333.15;1531
62.09;73.07;0;14;333.15;1534.9
62.09;73.07;0;15;333.15;1540
62.09;73.07;0;16;333.15;1543.8
62.09;73.07;0;17;333.15;1547.7
62.09;73.07;0;18;333.15;1551.6
62.09;73.07;0;19;333.15;1555.5
62.09;73.07;0;20;333.15;1559.5
62.09;73.07;0;0.1;343.15;1449.3
62.09;73.07;0;1;343.15;1453
62.09;73.07;0;2;343.15;1456.8
62.09;73.07;0;3;343.15;1461.8
62.09;73.07;0;4;343.15;1466.7
62.09;73.07;0;5;343.15;1471.7
62.09;73.07;0;6;343.15;1475.5
62.09;73.07;0;7;343.15;1480.5
62.09;73.07;0;8;343.15;1485.5
62.09;73.07;0;9;343.15;1489.3
62.09;73.07;0;10;343.15;1494.3
62.09;73.07;0;11;343.15;1499.4
62.09;73.07;0;12;343.15;1503.2
62.09;73.07;0;13;343.15;1508.2
62.09;73.07;0;14;343.15;1513.3
62.09;73.07;0;15;343.15;1517.2
62.09;73.07;0;16;343.15;1522.2
62.09;73.07;0;17;343.15;1526.1
62.09;73.07;0;18;343.15;1530
62.09;73.07;0;19;343.15;1533.8
62.09;73.07;0;20;343.15;1537.7
62.09;73.07;0;0.1;353.15;1416
62.09;73.07;0;1;353.15;1421
62.09;73.07;0;2;353.15;1426.1
62.09;73.07;0;3;353.15;1431.2
62.09;73.07;0;4;353.15;1436.3
62.09;73.07;0;5;353.15;1441.4
62.09;73.07;0;6;353.15;1446.5
62.09;73.07;0;7;353.15;1451.7
62.09;73.07;0;8;353.15;1456.8
62.09;73.07;0;9;353.15;1463.1
62.09;73.07;0;10;353.15;1467
62.09;73.07;0;11;353.15;1473.3
62.09;73.07;0;12;353.15;1478.4
62.09;73.07;0;13;353.15;1482.4
62.09;73.07;0;14;353.15;1487.5
62.09;73.07;0;15;353.15;1492.6
62.09;73.07;0;16;353.15;1496.5
62.09;73.07;0;17;353.15;1500.4
62.09;73.07;0;18;353.15;1504.4
62.09;73.07;0;19;353.15;1509.5
62.09;73.07;0;20;353.15;1513.3
139.29;149;0;0.1;283.15;1444
139.29;149;0;5;283.15;1459.7
139.29;149;0;10;283.15;1475.3
139.29;149;0;20;283.15;1505.1
139.29;149;0;30;283.15;1533.5
139.29;149;0;40;283.15;1560.6
139.29;149;0;50;283.15;1586.7
139.29;149;0;60;283.15;1611.4
139.29;149;0;70;283.15;1635.2
139.29;149;0;80;283.15;1658.2
139.29;149;0;90;283.15;1680.4
139.29;149;0;95;283.15;1691.4
139.29;149;0;0.1;293.15;1420.9
139.29;149;0;5;293.15;1437.1
139.29;149;0;10;293.15;1453
139.29;149;0;20;293.15;1483.3
139.29;149;0;30;293.15;1512
139.29;149;0;40;293.15;1539.5
139.29;149;0;50;293.15;1565.8
139.29;149;0;60;293.15;1591
139.29;149;0;70;293.15;1615.2
139.29;149;0;80;293.15;1638.5
139.29;149;0;90;293.15;1661
139.29;149;0;95;293.15;1672.1
139.29;149;0;0.1;303.15;1400.1
139.29;149;0;5;303.15;1416.6
139.29;149;0;10;303.15;1433
139.29;149;0;20;303.15;1463.9
139.29;149;0;30;303.15;1493.1
139.29;149;0;40;303.15;1521
139.29;149;0;50;303.15;1547.6
139.29;149;0;60;303.15;1573.3
139.29;149;0;70;303.15;1598
139.29;149;0;80;303.15;1621.7
139.29;149;0;90;303.15;1644.5
139.29;149;0;95;303.15;1655.8
139.29;149;0;0.1;313.15;1380
139.29;149;0;5;313.15;1396.9
139.29;149;0;10;313.15;1413.4
139.29;149;0;20;313.15;1444.7
139.29;149;0;30;313.15;1474.4
139.29;149;0;40;313.15;1502.5
139.29;149;0;50;313.15;1529.7
139.29;149;0;60;313.15;1555.7
139.29;149;0;70;313.15;1580.5
139.29;149;0;80;313.15;1604.7
139.29;149;0;90;313.15;1627.8
139.29;149;0;95;313.15;1639
139.29;149;0;0.1;323.15;1358.8
139.29;149;0;5;323.15;1375.9
139.29;149;0;10;323.15;1392.7
139.29;149;0;20;323.15;1424.9
139.29;149;0;30;323.15;1455
139.29;149;0;40;323.15;1483.7
139.29;149;0;50;323.15;1511.1
139.29;149;0;60;323.15;1537.5
139.29;149;0;70;323.15;1562.8
139.29;149;0;80;323.15;1587.1
139.29;149;0;90;323.15;1610.5
139.29;149;0;95;323.15;1622.1
139.29;149;0;0.1;333.15;1337.2
139.29;149;0;5;333.15;1354.7
139.29;149;0;10;333.15;1371.7
139.29;149;0;20;333.15;1404.6
139.29;149;0;30;333.15;1435.7
139.29;149;0;40;333.15;1464.8
139.29;149;0;50;333.15;1492.9
139.29;149;0;60;333.15;1519.6
139.29;149;0;70;333.15;1545.2
139.29;149;0;80;333.15;1569.7
139.29;149;0;90;333.15;1593.7
139.29;149;0;95;333.15;1605.1
139.29;149;0;0.1;343.15;1316.4
139.29;149;0;5;343.15;1334.1
139.29;149;0;10;343.15;1351.5
139.29;149;0;20;343.15;1385.3
139.29;149;0;30;343.15;1417
139.29;149;0;40;343.15;1446.9
139.29;149;0;50;343.15;1475.3
139.29;149;0;60;343.15;1502.1
139.29;149;0;70;343.15;1528.7
139.29;149;0;80;343.15;1553.8
139.29;149;0;90;343.15;1577.8
139.29;149;0;95;343.15;1589.5
139.29;149;0;0.1;283.15;1447.68
139.29;149;0;1.2;283.15;1450.37
139.29;149;0;5.3;283.15;1460.3
139.29;149;0;9.9;283.15;1471.16
139.29;149;0;20.3;283.15;1495.47
139.29;149;0;30;283.15;1517.31
139.29;149;0;40.1;283.15;1539.57
139.29;149;0;50;283.15;1560.93
139.29;149;0;60.4;283.15;1582.74
139.29;149;0;70;283.15;1602.5
139.29;149;0;79.6;283.15;1621.87
139.29;149;0;90.1;283.15;1642.52
139.29;149;0;100.1;283.15;1661.79
139.29;149;0;110;283.15;1680.46
139.29;149;0;120;283.15;1699.09
139.29;149;0;130;283.15;1717.3
139.29;149;0;140;283.15;1735.2
139.29;149;0;0.1;293.15;1427.37
139.29;149;0;1.2;293.15;1431.31
139.29;149;0;5.3;293.15;1439.22
139.29;149;0;9.9;293.15;1450.79
139.29;149;0;20.3;293.15;1476.09
139.29;149;0;30;293.15;1498.09
139.29;149;0;40.1;293.15;1521.2
139.29;149;0;50;293.15;1542.35
139.29;149;0;60.4;293.15;1564.39
139.29;149;0;70;293.15;1584.54
139.29;149;0;79.6;293.15;1605.94
139.29;149;0;90.1;293.15;1624.86
139.29;149;0;100.1;293.15;1644.45
139.29;149;0;110;293.15;1663.29
139.29;149;0;120;293.15;1680.8
139.29;149;0;130;293.15;1700.56
139.29;149;0;140;293.15;1717.08
139.29;149;0;0.101;298.15;1416.94
139.29;149;0;1.225;298.15;1419.23
139.29;149;0;5.337;298.15;1429.1
139.29;149;0;9.906;298.15;1441.26
139.29;149;0;20.345;298.15;1465.03
139.29;149;0;29.997;298.15;1488.37
139.29;149;0;40.094;298.15;1510.94
139.29;149;0;49.996;298.15;1532.88
139.29;149;0;60.363;298.15;1554.43
139.29;149;0;69.993;298.15;1575.52
139.29;149;0;79.621;298.15;1596.05
139.29;149;0;90.097;298.15;1616.25
139.29;149;0;100.086;298.15;1635.89
139.29;149;0;109.957;298.15;1655.16
139.29;149;0;119.997;298.15;1674.19
139.29;149;0;129.993;298.15;1692.79
139.29;149;0;139.996;298.15;1711.08
139.29;149;0;0.101;313.15;1384.85
139.29;149;0;1.225;313.15;1387.3
139.29;149;0;5.337;313.15;1398.2
139.29;149;0;9.906;313.15;1410.97
139.29;149;0;20.345;313.15;1435.43
139.29;149;0;29.997;313.15;1458.59
139.29;149;0;40.094;313.15;1481.96
139.29;149;0;49.996;313.15;1504.67
139.29;149;0;60.363;313.15;1527.15
139.29;149;0;69.993;313.15;1548.8
139.29;149;0;79.621;313.15;1569.53
139.29;149;0;90.097;313.15;1590.62
139.29;149;0;100.086;313.15;1610.78
139.29;149;0;109.957;313.15;1630.57
139.29;149;0;119.997;313.15;1653.68
139.29;149;0;129.993;313.15;1669.38
139.29;149;0;139.996;313.15;1687.03
139.29;149;0;0.101;333.15;1341.16
139.29;149;0;1.225;333.15;1345.26
139.29;149;0;5.337;333.15;1355.12
139.29;149;0;9.906;333.15;1367.38
139.29;149;0;20.345;333.15;1392.67
139.29;149;0;29.997;333.15;1419.02
139.29;149;0;40.094;333.15;1443.19
139.29;149;0;49.996;333.15;1467.63
139.29;149;0;60.363;333.15;1490.55
139.29;149;0;69.993;333.15;1513.97
139.29;149;0;79.621;333.15;1534.82
139.29;149;0;90.097;333.15;1558.32
139.29;149;0;100.086;333.15;1575.68
139.29;149;0;109.957;333.15;1600.59
139.29;149;0;119.997;333.15;1621.25
139.29;149;0;129.993;333.15;1641.74
139.29;149;0;139.996;333.15;1659.95
139.29;149;0;0.101;353.15;1297.43
139.29;149;0;1.225;353.15;1302.17
139.29;149;0;5.337;353.15;1312.77
139.29;149;0;9.906;353.15;1326.99
139.29;149;0;20.345;353.15;1353.89
139.29;149;0;29.997;353.15;1380.56
139.29;149;0;40.094;353.15;1407.68
139.29;149;0;49.996;353.15;1432.47
139.29;149;0;60.363;353.15;1458.12
139.29;149;0;69.993;353.15;1481.94
139.29;149;0;79.621;353.15;1503.99
139.29;149;0;90.097;353.15;1529.33
139.29;149;0;100.086;353.15;1547.21
139.29;149;0;109.957;353.15;1574.52
139.29;149;0;119.997;353.15;1595.93
139.29;149;0;129.993;353.15;1618.66
139.29;149;0;139.996;353.15;1638.7
139.29;149;0;0.101;373.15;1254.2
139.29;149;0;1.225;373.15;1259.02
139.29;149;0;5.337;373.15;1269.25
139.29;149;0;9.906;373.15;1286.52
139.29;149;0;20.345;373.15;1315.55
139.29;149;0;29.997;373.15;1343.94
139.29;149;0;40.094;373.15;1372.98
139.29;149;0;49.996;373.15;1399.84
139.29;149;0;60.363;373.15;1425.09
139.29;149;0;69.993;373.15;1453.15
139.29;149;0;79.621;373.15;1476.28
139.29;149;0;90.097;373.15;1504.27
139.29;149;0;100.086;373.15;1527.56
139.29;149;0;109.957;373.15;1553.16
139.29;149;0;119.997;373.15;1574.88
139.29;149;0;129.993;373.15;1600.92
139.29;149;0;139.996;373.15;1622.91
139.29;149;0;0.101;393.15;1210.95
139.29;149;0;1.225;393.15;1215.31
139.29;149;0;5.337;393.15;1228.17
139.29;149;0;9.906;393.15;1245.65
139.29;149;0;20.345;393.15;1277.64
139.29;149;0;29.997;393.15;1308.87
139.29;149;0;40.094;393.15;1339.05
139.29;149;0;49.996;393.15;1369.65
139.29;149;0;60.363;393.15;1399.32
139.29;149;0;69.993;393.15;1427.64
139.29;149;0;79.621;393.15;1453.83
139.29;149;0;90.097;393.15;1483.26
139.29;149;0;100.086;393.15;1508.43
139.29;149;0;109.957;393.15;1536.43
139.29;149;0;119.997;393.15;1559.79
139.29;149;0;129.993;393.15;1588.54
139.29;149;0;139.996;393.15;1613.81
139.29;149;0;0.101;413.15;1166.12
139.29;149;0;1.225;413.15;1172.22
139.29;149;0;5.337;413.15;1184.67
139.29;149;0;9.906;413.15;1204.17
139.29;149;0;20.345;413.15;1239.07
139.29;149;0;29.997;413.15;1273.88
139.29;149;0;40.094;413.15;1307.97
139.29;149;0;49.996;413.15;1341.12
139.29;149;0;60.363;413.15;1373.22
139.29;149;0;69.993;413.15;1404.87
139.29;149;0;79.621;413.15;1436.81
139.29;149;0;90.097;413.15;1465.99
139.29;149;0;100.086;413.15;1495.38
139.29;149;0;109.957;413.15;1524.67
139.29;149;0;119.997;413.15;1551.51
139.29;149;0;129.993;413.15;1581.95
139.29;149;0;139.996;413.15;1608.92
139.29;235.75;0;0.1;283.15;1315.3
139.29;235.75;0;5;283.15;1327.3
139.29;235.75;0;10;283.15;1339.2
139.29;235.75;0;20;283.15;1362.9
139.29;235.75;0;30;283.15;1386
139.29;235.75;0;40;283.15;1408.4
139.29;235.75;0;50;283.15;1429.8
139.29;235.75;0;60;283.15;1450.5
139.29;235.75;0;70;283.15;1470.2
139.29;235.75;0;80;283.15;1489.5
139.29;235.75;0;90;283.15;1508.3
139.29;235.75;0;95;283.15;1517.7
139.29;235.75;0;0.1;293.15;1292
139.29;235.75;0;5;293.15;1304.2
139.29;235.75;0;10;293.15;1316.1
139.29;235.75;0;20;293.15;1339.6
139.29;235.75;0;30;293.15;1362.5
139.29;235.75;0;40;293.15;1384.9
139.29;235.75;0;50;293.15;1406.6
139.29;235.75;0;60;293.15;1427.4
139.29;235.75;0;70;293.15;1447.5
139.29;235.75;0;80;293.15;1466.6
139.29;235.75;0;90;293.15;1485.4
139.29;235.75;0;95;293.15;1494.6
139.29;235.75;0;0.1;303.15;1269.8
139.29;235.75;0;5;303.15;1282.2
139.29;235.75;0;10;303.15;1294.5
139.29;235.75;0;20;303.15;1318.2
139.29;235.75;0;30;303.15;1341.1
139.29;235.75;0;40;303.15;1363.6
139.29;235.75;0;50;303.15;1385.6
139.29;235.75;0;60;303.15;1406.7
139.29;235.75;0;70;303.15;1427
139.29;235.75;0;80;303.15;1446.7
139.29;235.75;0;90;303.15;1465.6
139.29;235.75;0;95;303.15;1474.9
